record,time,water_m,rain_percent,temp_c,rh_percent,mode,tamper,sensor_issue
255,2026-07-20 16:59:42,0.483,30,31.0,80.0,LOW FLOOD,NO,NO
311,2026-07-20 17:28:15,0.876,61,27.0,79.0,MEDIUM FLOOD,NO,NO
347,2026-07-20 17:29:27,0.991,62,28.0,79.0,CRITICAL FLOOD,NO,NO
379,2026-07-21 00:51:47,0.314,46,28.0,79.0,LOW FLOOD,NO,NO
476,2026-07-21 18:53:23,0.062,72,29.0,85.0,HIGH RAIN,NO,NO
559,2026-07-21 19:36:06,0.050,49,30.0,75.0,LOW RAIN,NO,NO
579,2026-07-21 19:36:46,0.043,56,30.0,77.0,MEDIUM RAIN,NO,NO
641,2026-07-22 00:56:21,0.615,22,31.0,73.0,DATA TAMPER,YES,NO
655,2026-07-22 01:15:37,0.003,19,29.0,71.0,SAFE,NO,NO
781,2026-07-22 01:47:56,0.097,26,28.0,75.0,SENSOR ISSUE,NO,YES
